City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Rio Gallegos,AR,-51.6226,-69.2181,68.05,26,20,20.71,few clouds
211,Bathsheba,BB,13.2167,-59.5167,79.41,69,40,16.11,scattered clouds
212,Dakar,SN,14.6937,-17.4441,70.68,68,35,19.19,scattered clouds
213,Muroto,JP,33.2833,134.15,46.44,76,100,13.96,overcast clouds
214,Victoria Point,AU,-27.5833,153.3,79.25,66,75,7.0,broken clouds
215,Marzuq,YE,14.4,46.4667,62.06,61,34,1.05,scattered clouds
216,Floro,NO,61.5996,5.0328,41.97,100,100,11.5,moderate rain
217,Havoysund,NO,70.9963,24.6622,29.28,57,97,15.68,light snow
218,Shingu,JP,33.7333,135.9833,43.92,58,98,3.44,overcast clouds
219,Oum Hadjer,TD,13.2954,19.6966,73.36,13,10,10.49,clear sky
220,Burgos,ES,42.3394,-3.7079,36.01,93,90,3.44,overcast clouds
221,Nabagram,IN,22.2881,88.5092,58.98,54,8,6.02,clear sky
222,Pringsewu,ID,-5.3582,104.9744,72.43,94,98,1.28,overcast clouds
223,San Quintin,MX,30.4833,-115.95,73.29,33,85,8.81,overcast clouds
224,Te Anau,NZ,-45.4167,167.7167,48.97,82,96,4.81,overcast clouds
225,Colonial Park,US,40.3006,-76.8097,47.86,50,0,13.8,clear sky
226,Amazar,RU,53.858,120.875,-20.49,98,26,3.53,scattered clouds
227,Talnakh,RU,69.4865,88.3972,-9.0,78,16,9.33,few clouds
228,Puerto Ayacucho,VE,5.6639,-67.6236,94.78,66,95,7.14,overcast clouds
229,Chuy,UY,-33.6971,-53.4616,68.36,95,98,8.48,overcast clouds
230,Suez,EG,29.9737,32.5263,55.56,63,0,7.63,clear sky
231,Vanavara,RU,60.34,102.2797,-17.55,100,94,3.24,overcast clouds
232,Puerto Ayora,EC,-0.7393,-90.3518,85.96,87,91,5.01,overcast clouds
233,Namibe,AO,-15.1961,12.1522,74.86,82,92,4.0,overcast clouds
234,Umm Lajj,SA,25.0213,37.2685,67.08,25,0,16.44,clear sky
235,Tupik,RU,54.4253,119.9327,-22.23,100,99,2.1,overcast clouds
236,Veraval,IN,20.9,70.3667,67.69,36,2,10.16,clear sky
237,Luderitz,NA,-26.6481,15.1594,72.77,69,6,8.14,clear sky
238,Kalmunai,LK,7.4167,81.8167,75.42,90,100,5.66,overcast clouds
239,Mincivan,AZ,39.0294,46.7185,44.28,54,2,6.11,clear sky
240,Pedasi,PA,7.5333,-80.0333,83.07,70,7,8.39,clear sky
241,Kavieng,PG,-2.5744,150.7967,81.9,76,100,3.6,light rain
242,Vardo,NO,70.3705,31.1107,26.6,63,7,15.88,clear sky
243,Wattegama,LK,6.7989,81.4808,72.7,93,100,4.03,overcast clouds
