City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
366,Culiacan,MX,83.16,broken clouds,24.7994,-107.3897,Hotel Lucerna Culiacán
369,Kathu,TH,81.63,broken clouds,7.9178,98.3332,Novotel Phuket Resort
370,Novo Aripuana,BR,75.74,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
372,Mareeba,AU,80.47,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
382,Rock Sound,BS,76.78,clear sky,24.9,-76.2,Pink Corral Bay Property
389,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
390,Lodi,US,79.25,scattered clouds,38.1302,-121.2725,Wine & Roses
392,Parkes,AU,75.34,clear sky,-33.1333,148.1833,Station Motel
398,Sao Jose Da Coroa Grande,BR,80.51,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
399,Kishi,NG,79.9,few clouds,9.0833,3.85,New NCCF KISI
400,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
403,Flinders,AU,75.06,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
405,Alyangula,AU,78.67,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
406,Namatanai,PG,81.95,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
407,Alugan,PH,77.79,overcast clouds,12.2188,125.4808,JM Lodge
410,Anito,PH,76.42,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
418,Vila Velha,BR,75.15,moderate rain,-20.3297,-40.2925,Hotel Vitória Palace
426,Aquiraz,BR,83.17,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
429,San Policarpo,PH,78.3,overcast clouds,12.1791,125.5072,Agapita M. Nicart
431,Buin,CL,88.12,scattered clouds,-33.7333,-70.75,Paihuen
434,Lawigan,PH,76.77,overcast clouds,10.487,122.0354,The Assemblage Point Resort and Convention Hub
435,Kerema,PG,81.25,few clouds,-7.9631,145.7785,Frena Lodge
436,Hambantota,LK,76.37,broken clouds,6.1241,81.1185,Bungalow 63
438,Kununurra,AU,82.38,scattered clouds,-15.7667,128.7333,Hotel Kununurra
443,Carira,BR,78.39,scattered clouds,-10.3608,-37.7011,Praca dos motorista
448,Kailua,US,81.07,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
449,Lazaro Cardenas,MX,83.7,broken clouds,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
457,Charters Towers,AU,78.48,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
470,Cajaruro,PE,83.57,light rain,-5.7364,-78.4256,Hotel Kuelap
476,Bundaberg,AU,80.22,scattered clouds,-24.85,152.35,Takalvan Motel
481,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
485,Vao,NC,80.38,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
487,Santa Helena,BR,75.54,overcast clouds,-2.2311,-45.3,Turi Plaza Hotel
491,Puerto Escondido,MX,84.06,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
494,Katherine,AU,80.92,clear sky,-14.4667,132.2667,Pine Tree Motel
495,Kieta,PG,84.31,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
496,San Francisco,US,81.1,scattered clouds,37.7749,-122.4194,Edwardian Hotel
498,De Aar,ZA,76.55,scattered clouds,-30.6497,24.0123,Nyibiba Guesthouse
502,Omboue,GA,78.3,light rain,-1.5746,9.2618,Hotel Olako
505,Cayenne,GF,77.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
513,Vallenar,CL,75.11,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
516,Port Moresby,PG,78.22,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
517,Sambava,MG,75.49,broken clouds,-14.2667,50.1667,Melrose
524,Makakilo City,US,79.29,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
537,Condado,CU,84.36,scattered clouds,21.8767,-79.8403,Casa Guachinango
539,Gedangan,ID,75.16,haze,-7.3908,112.7267,Hotel Utami
550,Cap Malheureux,MU,81.09,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
553,Ahuimanu,US,80.46,few clouds,21.4447,-157.8378,Paradise Bay Resort
556,Mana,GF,76.48,broken clouds,5.6592,-53.7767,LE SAMANA
557,Hobyo,SO,76.77,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
